"5/8/2026, 9:59:37 PM",NaN

time,distance
"5/8/2026, 9:59:37 PM",NaN

time,distance
"5/8/2026, 9:59:37 PM",NaN

time,distance
"5/8/2026, 9:59:37 PM",NaN

time,distance
"5/8/2026, 9:59:37 PM",NaN

time,distance
"5/8/2026, 9:59:37 PM",NaN

time,distance
"5/8/2026, 9:59:37 PM",NaN

time,distance
"5/8/2026, 9:59:38 PM",NaN

time,distance
"5/8/2026, 9:59:38 PM",NaN

time,distance
"5/8/2026, 9:59:38 PM",NaN

time,distance
"5/8/2026, 9:59:38 PM",NaN

time,distance
"5/8/2026, 9:59:38 PM",NaN

time,distance
"5/8/2026, 9:59:38 PM",NaN

time,distance
"5/8/2026, 9:59:39 PM",NaN

time,distance
"5/8/2026, 9:59:39 PM",NaN

time,distance
"5/8/2026, 9:59:39 PM",NaN

time,distance
"5/8/2026, 9:59:39 PM",NaN

time,distance
"5/8/2026, 9:59:39 PM",NaN

time,distance
"5/8/2026, 9:59:39 PM",NaN

time,distance
"5/8/2026, 9:59:40 PM",NaN

time,distance
"5/8/2026, 9:59:40 PM",NaN

time,distance
"5/8/2026, 9:59:40 PM",NaN

time,distance
"5/8/2026, 9:59:40 PM",NaN

time,distance
"5/8/2026, 9:59:40 PM",NaN

time,distance
"5/8/2026, 9:59:40 PM",NaN

time,distance
"5/8/2026, 9:59:40 PM",NaN

time,distance
"5/8/2026, 9:59:41 PM",NaN

time,distance
"5/8/2026, 9:59:41 PM",NaN

time,distance
"5/8/2026, 9:59:41 PM",NaN

time,distance
"5/8/2026, 9:59:41 PM",NaN

time,distance
"5/8/2026, 9:59:41 PM",NaN

time,distance
"5/8/2026, 9:59:41 PM",NaN

time,distance
"5/8/2026, 9:59:41 PM",NaN

time,distance
"5/8/2026, 9:59:42 PM",NaN

time,distance
"5/8/2026, 9:59:42 PM",NaN

time,distance
"5/8/2026, 9:59:42 PM",NaN

time,distance
"5/8/2026, 9:59:42 PM",NaN

time,distance
"5/8/2026, 9:59:42 PM",NaN

time,distance
"5/8/2026, 9:59:42 PM",NaN

time,distance
"5/8/2026, 9:59:43 PM",NaN

time,distance
"5/8/2026, 9:59:43 PM",NaN

time,distance
"5/8/2026, 9:59:43 PM",NaN

time,distance
"5/8/2026, 9:59:43 PM",NaN

time,distance
"5/8/2026, 9:59:43 PM",NaN

time,distance
"5/8/2026, 9:59:43 PM",NaN

time,distance
"5/8/2026, 9:59:44 PM",NaN

time,distance
"5/8/2026, 9:59:44 PM",NaN

time,distance
